,config appearance force_rewrite,config appearance noise_preview,config appearance show_aposteriori_surface,config appearance skip_volume_generation,config appearance surface_3d_preview,config areasampling areasize_mm,config areasampling areasize_px,config areasampling voxelsize_mm,config filepattern,config filepattern_abspath,config filepattern_series_number,config generator_id,config generators Continuous tubes element_number,config generators Continuous tubes radius_distribution_fixed,config generators Continuous tubes radius_distribution_maximum,config generators Continuous tubes radius_distribution_mean,config generators Continuous tubes radius_distribution_minimum,config generators Continuous tubes radius_distribution_normal,config generators Continuous tubes radius_distribution_standard_deviation,config generators Continuous tubes radius_distribution_uniform,config generators Continuous tubes random_generator_seed,config generators Gensei n_objects,config generators Unconnected tubes allow_overlap,config generators Unconnected tubes element_number,config generators Unconnected tubes last_element_can_be_smaller,config generators Unconnected tubes length_distribution_mean,config generators Unconnected tubes length_distribution_standard_deviation,config generators Unconnected tubes maximum_1000_iteration_number,config generators Unconnected tubes orientation_alpha_rad,config generators Unconnected tubes orientation_anisotropic,config generators Unconnected tubes orientation_beta_rad,config generators Unconnected tubes orientation_variance_rad,config generators Unconnected tubes radius_distribution_fixed,config generators Unconnected tubes radius_distribution_maximum,config generators Unconnected tubes radius_distribution_mean,config generators Unconnected tubes radius_distribution_minimum,config generators Unconnected tubes radius_distribution_normal,config generators Unconnected tubes radius_distribution_standard_deviation,config generators Unconnected tubes radius_distribution_uniform,config generators Unconnected tubes random_generator_seed,config generators Unconnected tubes tube_shape,config generators Unconnected tubes volume_fraction,config generators Voronoi tubes element_number,config generators Voronoi tubes radius_distribution_fixed,config generators Voronoi tubes radius_distribution_maximum,config generators Voronoi tubes radius_distribution_mean,config generators Voronoi tubes radius_distribution_minimum,config generators Voronoi tubes radius_distribution_normal,config generators Voronoi tubes radius_distribution_standard_deviation,config generators Voronoi tubes radius_distribution_uniform,config generators Voronoi tubes random_generator_seed,config measurement polygon_radius_selection_method,config measurement tube_shape,config output aposteriori_measurement,config output aposteriori_measurement_multiplier,config output note,config output one_row_filename,config output run_label,config postprocessing add_noise,config postprocessing background_intensity,config postprocessing gaussian_blur,config postprocessing gaussian_filter_sigma_mm,config postprocessing intensity_profile_intensity,config postprocessing intensity_profile_radius,config postprocessing limit_negative_intensities,config postprocessing measurement_resolution,config postprocessing negative,config postprocessing noise_exponent,config postprocessing noise_lambda0,config postprocessing noise_lambda1,config postprocessing noise_mean,config postprocessing noise_rng_seed,config postprocessing noise_std,config postprocessing output_dtype,config required_teigen_version,measurement area volume [mm^3],measurement count [],measurement length [mm],measurement length d. [mm^-2],measurement mean radius [mm],measurement negative numeric volume [mm^3],measurement negative numeric volume fraction [],measurement numeric surface [mm^2],measurement numeric volume [mm^3],measurement numeric volume fraction [],measurement surface [mm^2],measurement surface d. [mm^-1],measurement volume [mm^3],measurement volume d. [],processing_info datetime,processing_info step1_finished,processing_info step1_generate_time_s,processing_info step1_generate_vtk_time_s,processing_info step1_init_datetime,processing_info step1_total_time_s,processing_info step2_finish_datetime,processing_info step2_finished,processing_info step2_generate_volume_time_s,processing_info step2_init_datetime,processing_info step2_numeric_measurement_time_s,processing_info step2_save_volume_time_s,processing_info step2_total_time_s,volume [mm^3],numeric volume [mm^3],surface [mm^2],numeric surface [mm^2],surface difference [mm^2],surface difference [-],surface difference [%],volume difference [mm^3],volume difference [-],volume difference [%],surface error [mm^2],surface error [-],surface error [%],volume error [mm^3],volume error [-],volume error [%],measurement_resolution,length_distribution_mean,radius_distribution_mean,element_number,element number,measurement resolution,step 1 time [s],step 2 time [s],total time [s],radius method
1349,False,False,True,True,False,"[200.0, 200.0, 200.0]","[200.0, 200.0, 200.0]","[0.2, 0.2, 0.2]",~/teigen_data/{seriesn:03d}/data{:06d}.jpg,~/teigen_data/005/data{:06d}.jpg,5.0,3,30,False,10.0,5.0,2.0,False,5.0,True,0.0,10,False,5.0,False,10.0,1.0,10.0,0.0,False,0.0,0.1,False,30.0,5.0,3.0,True,0.1,True,110,True,0.5,30,False,10.0,5.0,2.0,False,5.0,True,0,inscribed,True,False,1.0,element number inscribed,~/teigen_data/output_rows.csv,element number,True,20.0,True,1.0,"[195, 190, 200, 30]","[0.4, 0.7, 1.0, 1.3]",True,10,False,0.0,0.02,1.0,30.0,0.0,40.0,uint8,,64000.0,5.0,36.4537501893,0.000569589846707,,58957.1227287,0.921205042637,2622.83477204,5042.87727125,0.0787949573633,2711.13995251,0.042361561758,5454.83199222,0.0852317498784,2017-10-05 19:50:22.497202,True,0.306609,0.45453,2017-10-05 20:15:33.470437,0.761139,2017-10-05 20:15:33.209366,False,0.0,2017-10-05 20:15:33.153010,0.013748,0.042608,0.056356,5454.83199222,5042.87727125,2711.13995251,2622.83477204,-88.30518047,-0.0325712364602,-3.25712364602,-411.95472097,-0.0755210649123,-7.55210649123,88.30518047,0.0325712364602,3.25712364602,411.95472097,0.0755210649123,7.55210649123,10,10.0,5.0,5.0,5.0,10,0.761139,0.056356,0.817495,inscribed
1351,False,False,True,True,False,"[200.0, 200.0, 200.0]","[200.0, 200.0, 200.0]","[0.2, 0.2, 0.2]",~/teigen_data/{seriesn:03d}/data{:06d}.jpg,~/teigen_data/005/data{:06d}.jpg,5.0,3,30,False,10.0,5.0,2.0,False,5.0,True,0.0,10,False,5.0,False,10.0,1.0,10.0,0.0,False,0.0,0.1,False,30.0,5.0,3.0,True,0.1,True,110,True,0.5,30,False,10.0,5.0,2.0,False,5.0,True,0,cylinder volume + sphere error,True,False,1.0,element number cylinder volume + sphere error,~/teigen_data/output_rows.csv,element number,True,20.0,True,1.0,"[195, 190, 200, 30]","[0.4, 0.7, 1.0, 1.3]",True,10,False,0.0,0.02,1.0,30.0,0.0,40.0,uint8,,64000.0,5.0,36.4537501893,0.000569589846707,,58529.7041616,0.914526627524,2762.98145994,5470.29583845,0.0854733724757,2711.13995251,0.042361561758,5454.83199222,0.0852317498784,2017-10-05 19:50:22.497202,True,0.302235,0.502376,2017-10-05 20:15:34.680027,0.804611,2017-10-05 20:15:34.422090,False,0.0,2017-10-05 20:15:34.397410,0.015419,0.009261,0.02468,5454.83199222,5470.29583845,2711.13995251,2762.98145994,51.84150743,0.0191216640742,1.91216640742,15.46384623,0.00283488955335,0.283488955335,51.84150743,0.0191216640742,1.91216640742,15.46384623,0.00283488955335,0.283488955335,10,10.0,5.0,5.0,5.0,10,0.804611,0.02468,0.829291,cylinder volume + sphere error
1357,False,False,True,True,False,"[200.0, 200.0, 200.0]","[200.0, 200.0, 200.0]","[0.2, 0.2, 0.2]",~/teigen_data/{seriesn:03d}/data{:06d}.jpg,~/teigen_data/005/data{:06d}.jpg,5.0,3,30,False,10.0,5.0,2.0,False,5.0,True,0.0,10,False,5.0,False,10.0,1.0,10.0,0.0,False,0.0,0.1,False,30.0,5.0,3.0,True,0.1,True,110,True,0.5,30,False,10.0,5.0,2.0,False,5.0,True,0,inscribed,True,False,1.0,element number inscribed,~/teigen_data/output_rows.csv,element number,True,20.0,True,1.0,"[195, 190, 200, 30]","[0.4, 0.7, 1.0, 1.3]",True,20,False,0.0,0.02,1.0,30.0,0.0,40.0,uint8,,64000.0,5.0,36.4537501893,0.000569589846707,,58650.3399554,0.916411561803,2688.77281983,5349.66004461,0.083588438197,2711.13995251,0.042361561758,5454.83199222,0.0852317498784,2017-10-05 20:23:04.955746,True,0.289212,1.250172,2017-10-05 20:23:07.501530,1.539384,2017-10-05 20:23:07.249149,False,0.0,2017-10-05 20:23:07.222836,0.015175,0.011138,0.026313,5454.83199222,5349.66004461,2711.13995251,2688.77281983,-22.36713268,-0.00825008412395,-0.825008412395,-105.17194761,-0.0192805108865,-1.92805108865,22.36713268,0.00825008412395,0.825008412395,105.17194761,0.0192805108865,1.92805108865,20,10.0,5.0,5.0,5.0,20,1.539384,0.026313,1.565697,inscribed
1359,False,False,True,True,False,"[200.0, 200.0, 200.0]","[200.0, 200.0, 200.0]","[0.2, 0.2, 0.2]",~/teigen_data/{seriesn:03d}/data{:06d}.jpg,~/teigen_data/005/data{:06d}.jpg,5.0,3,30,False,10.0,5.0,2.0,False,5.0,True,0.0,10,False,5.0,False,10.0,1.0,10.0,0.0,False,0.0,0.1,False,30.0,5.0,3.0,True,0.1,True,110,True,0.5,30,False,10.0,5.0,2.0,False,5.0,True,0,cylinder volume + sphere error,True,False,1.0,element number cylinder volume + sphere error,~/teigen_data/output_rows.csv,element number,True,20.0,True,1.0,"[195, 190, 200, 30]","[0.4, 0.7, 1.0, 1.3]",True,20,False,0.0,0.02,1.0,30.0,0.0,40.0,uint8,,64000.0,5.0,36.4537501893,0.000569589846707,,58543.3398002,0.914739684377,2723.32344029,5456.66019984,0.0852603156225,2711.13995251,0.042361561758,5454.83199222,0.0852317498784,2017-10-05 20:23:04.955746,True,0.286044,1.432844,2017-10-05 20:23:09.493917,1.718888,2017-10-05 20:23:09.248085,False,0.0,2017-10-05 20:23:09.215702,0.015558,0.016825,0.032383,5454.83199222,5456.66019984,2711.13995251,2723.32344029,12.18348778,0.00449386162036,0.449386162036,1.82820762,0.000335153790732,0.0335153790732,12.18348778,0.00449386162036,0.449386162036,1.82820762,0.000335153790732,0.0335153790732,20,10.0,5.0,5.0,5.0,20,1.718888,0.032383,1.751271,cylinder volume + sphere error
1361,False,False,True,True,False,"[200.0, 200.0, 200.0]","[200.0, 200.0, 200.0]","[0.2, 0.2, 0.2]",~/teigen_data/{seriesn:03d}/data{:06d}.jpg,~/teigen_data/005/data{:06d}.jpg,5.0,3,30,False,10.0,5.0,2.0,False,5.0,True,0.0,10,False,5.0,False,10.0,1.0,10.0,0.0,False,0.0,0.1,False,30.0,5.0,3.0,True,0.1,True,110,True,0.5,30,False,10.0,5.0,2.0,False,5.0,True,0,inscribed,True,False,1.0,element number inscribed,~/teigen_data/output_rows.csv,element number,True,20.0,True,1.0,"[195, 190, 200, 30]","[0.4, 0.7, 1.0, 1.3]",True,30,False,0.0,0.02,1.0,30.0,0.0,40.0,uint8,,64000.0,5.0,36.4537501893,0.000569589846707,,58592.0932806,0.915501457509,2701.17477578,5407.90671941,0.0844985424908,2711.13995251,0.042361561758,5454.83199222,0.0852317498784,2017-10-05 20:23:04.955746,True,0.293793,2.662773,2017-10-05 20:23:11.677898,2.956566,2017-10-05 20:23:11.431002,False,0.0,2017-10-05 20:23:11.394388,0.01511,0.021504,0.036614,5454.83199222,5407.90671941,2711.13995251,2701.17477578,-9.96517673,-0.00367564083911,-0.367564083911,-46.92527281,-0.00860251477533,-0.860251477533,9.96517673,0.00367564083911,0.367564083911,46.92527281,0.00860251477533,0.860251477533,30,10.0,5.0,5.0,5.0,30,2.956566,0.036614,2.99318,inscribed
1363,False,False,True,True,False,"[200.0, 200.0, 200.0]","[200.0, 200.0, 200.0]","[0.2, 0.2, 0.2]",~/teigen_data/{seriesn:03d}/data{:06d}.jpg,~/teigen_data/005/data{:06d}.jpg,5.0,3,30,False,10.0,5.0,2.0,False,5.0,True,0.0,10,False,5.0,False,10.0,1.0,10.0,0.0,False,0.0,0.1,False,30.0,5.0,3.0,True,0.1,True,110,True,0.5,30,False,10.0,5.0,2.0,False,5.0,True,0,cylinder volume + sphere error,True,False,1.0,element number cylinder volume + sphere error,~/teigen_data/output_rows.csv,element number,True,20.0,True,1.0,"[195, 190, 200, 30]","[0.4, 0.7, 1.0, 1.3]",True,30,False,0.0,0.02,1.0,30.0,0.0,40.0,uint8,,64000.0,5.0,36.4537501893,0.000569589846707,,58544.5839376,0.914759124025,2716.492454,5455.4160624,0.085240875975,2711.13995251,0.042361561758,5454.83199222,0.0852317498784,2017-10-05 20:23:04.955746,True,0.293029,2.944155,2017-10-05 20:23:15.100628,3.237184,2017-10-05 20:23:14.854432,False,0.0,2017-10-05 20:23:14.807114,0.015346,0.031972,0.047318,5454.83199222,5455.4160624,2711.13995251,2716.492454,5.35250149,0.00197426233384,0.197426233384,0.58407018,0.000107073908203,0.0107073908203,5.35250149,0.00197426233384,0.197426233384,0.58407018,0.000107073908203,0.0107073908203,30,10.0,5.0,5.0,5.0,30,3.237184,0.047318,3.284502,cylinder volume + sphere error
1365,False,False,True,True,False,"[200.0, 200.0, 200.0]","[200.0, 200.0, 200.0]","[0.2, 0.2, 0.2]",~/teigen_data/{seriesn:03d}/data{:06d}.jpg,~/teigen_data/005/data{:06d}.jpg,5.0,3,30,False,10.0,5.0,2.0,False,5.0,True,0.0,10,False,5.0,False,10.0,1.0,10.0,0.0,False,0.0,0.1,False,30.0,5.0,3.0,True,0.1,True,110,True,0.5,30,False,10.0,5.0,2.0,False,5.0,True,0,inscribed,True,False,1.0,element number inscribed,~/teigen_data/output_rows.csv,element number,True,20.0,True,1.0,"[195, 190, 200, 30]","[0.4, 0.7, 1.0, 1.3]",True,40,False,0.0,0.02,1.0,30.0,0.0,40.0,uint8,,64000.0,5.0,36.4537501893,0.000569589846707,,58571.5994939,0.915181242092,2705.52975098,5428.40050613,0.0848187579083,2711.13995251,0.042361561758,5454.83199222,0.0852317498784,2017-10-05 20:23:04.955746,True,0.287805,4.475726,2017-10-05 20:23:18.813435,4.763531,2017-10-05 20:23:18.564647,False,0.0,2017-10-05 20:23:18.512267,0.015505,0.036875,0.05238,5454.83199222,5428.40050613,2711.13995251,2705.52975098,-5.61020153,-0.00206931461609,-0.206931461609,-26.43148609,-0.00484551790554,-0.484551790554,5.61020153,0.00206931461609,0.206931461609,26.43148609,0.00484551790554,0.484551790554,40,10.0,5.0,5.0,5.0,40,4.763531,0.05238,4.815911,inscribed
1367,False,False,True,True,False,"[200.0, 200.0, 200.0]","[200.0, 200.0, 200.0]","[0.2, 0.2, 0.2]",~/teigen_data/{seriesn:03d}/data{:06d}.jpg,~/teigen_data/005/data{:06d}.jpg,5.0,3,30,False,10.0,5.0,2.0,False,5.0,True,0.0,10,False,5.0,False,10.0,1.0,10.0,0.0,False,0.0,0.1,False,30.0,5.0,3.0,True,0.1,True,110,True,0.5,30,False,10.0,5.0,2.0,False,5.0,True,0,cylinder volume + sphere error,True,False,1.0,element number cylinder volume + sphere error,~/teigen_data/output_rows.csv,element number,True,20.0,True,1.0,"[195, 190, 200, 30]","[0.4, 0.7, 1.0, 1.3]",True,40,False,0.0,0.02,1.0,30.0,0.0,40.0,uint8,,64000.0,5.0,36.4537501893,0.000569589846707,,58544.8964969,0.914764007764,2714.1407172,5455.10350309,0.0852359922357,2711.13995251,0.042361561758,5454.83199222,0.0852317498784,2017-10-05 20:23:04.955746,True,0.309927,5.601818,2017-10-05 20:23:24.110848,5.911745,2017-10-05 20:23:23.849156,False,0.0,2017-10-05 20:23:23.780206,0.016806,0.052144,0.06895,5454.83199222,5455.10350309,2711.13995251,2714.1407172,3.00076469,0.00110682766016,0.110682766016,0.27151087,4.97743780904e-05,0.00497743780904,3.00076469,0.00110682766016,0.110682766016,0.27151087,4.97743780904e-05,0.00497743780904,40,10.0,5.0,5.0,5.0,40,5.911745,0.06895,5.980695,cylinder volume + sphere error
1369,False,False,True,True,False,"[200.0, 200.0, 200.0]","[200.0, 200.0, 200.0]","[0.2, 0.2, 0.2]",~/teigen_data/{seriesn:03d}/data{:06d}.jpg,~/teigen_data/005/data{:06d}.jpg,5.0,3,30,False,10.0,5.0,2.0,False,5.0,True,0.0,10,False,5.0,False,10.0,1.0,10.0,0.0,False,0.0,0.1,False,30.0,5.0,3.0,True,0.1,True,110,True,0.5,30,False,10.0,5.0,2.0,False,5.0,True,0,inscribed,True,False,1.0,element number inscribed,~/teigen_data/output_rows.csv,element number,True,20.0,True,1.0,"[195, 190, 200, 30]","[0.4, 0.7, 1.0, 1.3]",True,50,False,0.0,0.02,1.0,30.0,0.0,40.0,uint8,,64000.0,5.0,36.4537501893,0.000569589846707,,58562.0947249,0.915032730077,2707.54802911,5437.90527509,0.0849672699233,2711.13995251,0.042361561758,5454.83199222,0.0852317498784,2017-10-05 20:23:04.955746,True,0.295188,7.517745,2017-10-05 20:23:30.529642,7.812933,2017-10-05 20:23:30.270869,False,0.0,2017-10-05 20:23:30.198481,0.015263,0.057125,0.072388,5454.83199222,5437.90527509,2711.13995251,2707.54802911,-3.5919234,-0.00132487568437,-0.132487568437,-16.92671713,-0.00310306846373,-0.310306846373,3.5919234,0.00132487568437,0.132487568437,16.92671713,0.00310306846373,0.310306846373,50,10.0,5.0,5.0,5.0,50,7.812933,0.072388,7.885321,inscribed
1371,False,False,True,True,False,"[200.0, 200.0, 200.0]","[200.0, 200.0, 200.0]","[0.2, 0.2, 0.2]",~/teigen_data/{seriesn:03d}/data{:06d}.jpg,~/teigen_data/005/data{:06d}.jpg,5.0,3,30,False,10.0,5.0,2.0,False,5.0,True,0.0,10,False,5.0,False,10.0,1.0,10.0,0.0,False,0.0,0.1,False,30.0,5.0,3.0,True,0.1,True,110,True,0.5,30,False,10.0,5.0,2.0,False,5.0,True,0,cylinder volume + sphere error,True,False,1.0,element number cylinder volume + sphere error,~/teigen_data/output_rows.csv,element number,True,20.0,True,1.0,"[195, 190, 200, 30]","[0.4, 0.7, 1.0, 1.3]",True,50,False,0.0,0.02,1.0,30.0,0.0,40.0,uint8,,64000.0,5.0,36.4537501893,0.000569589846707,,58545.0259019,0.914766029718,2713.06288349,5454.97409805,0.0852339702821,2711.13995251,0.042361561758,5454.83199222,0.0852317498784,2017-10-05 20:23:04.955746,True,0.31055,10.740997,2017-10-05 20:23:38.870523,11.051547,2017-10-05 20:23:38.613098,False,0.0,2017-10-05 20:23:38.527212,0.015782,0.070104,0.085886,5454.83199222,5454.97409805,2711.13995251,2713.06288349,1.92293098,0.000709270275118,0.0709270275118,0.14210583,2.60513669721e-05,0.00260513669721,1.92293098,0.000709270275118,0.0709270275118,0.14210583,2.60513669721e-05,0.00260513669721,50,10.0,5.0,5.0,5.0,50,11.051547,0.085886,11.137433,cylinder volume + sphere error
